call_id,transcription,agent_notes,Fraud Tactics,Unnamed: 4
T00000011,"FC: Hi, I received a notification about suspicious activity on my account. Can you help me check it?

CCR: Sure, can you provide your account details to verify your identity?

FC: My name is Sarah White, my address is 456 Elm Street, and the last four of my Social are 8765.

CCR: Thank you. Can you also provide your account passcode?

FC: I forgot it. Can you tell me what email or phone number is on file for my account?",Phishing for Email Verification,"Phishing,Partial Information Disclosure,Feigning Forgetfulness:",
T00000012,"FC: Hello, I got an alert about an unauthorized transaction on my account. Can you assist me?

CCR: Of course. May I have your account details for verification?

FC: My name is John Doe, my address is 789 Maple Avenue, and the last four of my Social are 1234.

CCR: Thank you. Can you also provide your account passcode?

FC: I don't remember it. Can you confirm the credit card number ending in 5678 is still active on my account?",Attempt to Gain Credit Card Information,"Phishing,Partial Information Disclosure,Evasion of Full Verification",
T00000013,"FC: Hi, I need a copy of my recent account statement. Can you email it to me?

CCR: Sure, I can help with that. Can you please verify your account information?

FC: My name is John White, my address is 345 Oak Lane, and the last four of my Social are 6789.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it right now. Can you send it to my email instead?",Request for Account Statement with Verification Evasion,"Impersonation,Urgency,Evasion of Verification",
T00000014,"FC: Hi, this is Karen, John Doe’s sister. John is in the hospital and asked me to update his account information.

CCR: I'm sorry to hear that. Can you please verify John’s account information?

FC: John’s name is John Doe, his address is 123 Elm Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don't know it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send it to my phone or email instead?

FC: Hi, this is Karen again, John Doe’s sister. John asked me to update his mailing address.

CCR: I can help with that. Can you please verify John’s current account information?

FC: John’s name is John Doe, his address is 123 Elm Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t know it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send it to my phone or email instead?


FC: Hi, this is Karen again. John asked me to update his phone number since he switched providers.

CCR: I can help with that. Can you please verify John’s current account information?

FC: John’s name is John Doe, his address is 456 Oak Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t know it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send it to my phone or email instead?

FC: Hi, this is Karen. John asked me to verify some recent transactions on his account.

CCR: I can help with that. Can you please verify John’s current account information?

FC: John’s name is John Doe, his address is 456 Oak Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t know it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send the statement to my email instead?


FC: Hi, this is Karen. John asked me to activate a new SIM card because he lost his phone.

CCR: I'm sorry to hear that. Let's get that sorted out. Can you please verify John’s account information?

FC: John’s name is John Doe, his address is 456 Oak Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t know it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it since he lost his phone. Can you send it to my email instead?",Impersonating a Family Member in Distress,"Impersonation,Multi-Call Approach:,Evasion of Verification",
T00000015,"FC: Hi, this is Lisa from XYZ Corporation. We need to update the contact information for several of our employee accounts.

CCR: I can help with that. Can you please verify the account information for one of the employees?

FC: Sure, the employee’s name is John Doe, his address is 123 Elm Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t have it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send it to my corporate email instead?


FC: Hi, this is Lisa from XYZ Corporation again. We need to update the mailing addresses for several of our employees.

CCR: I can help with that. Can you please verify the account information for one of the employees?

FC: Sure, the employee’s name is John Doe, his address is 123 Elm Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t have it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send it to my corporate email instead?


FC: Hi, this is Lisa from XYZ Corporation. We need to update the phone numbers for several of our employees.

CCR: I can help with that. Can you please verify the account information for one of the employees?

FC: Sure, the employee’s name is John Doe, his address is 456 Oak Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t have it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send it to my corporate email instead?


FC: Hi, this is Lisa from XYZ Corporation. We need to verify some recent transactions on several of our employee accounts.

CCR: I can help with that. Can you please verify the account information for one of the employees?

FC: Sure, the employee’s name is John Doe, his address is 456 Oak Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t have it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it right now. Can you send the statement to my corporate email instead?


FC: Hi, this is Lisa from XYZ Corporation. We need to activate new SIM cards for several of our employees.

CCR: I can help with that. Can you please verify the account information for one of the employees?

FC: Sure, the employee’s name is John Doe, his address is 456 Oak Street, and the last four of his Social are 5678.

CCR: Thank you. Can you provide John’s account passcode?

FC: I don’t have it. Can you help me reset it?

CCR: I’ll need to send a one-time PIN to John’s registered phone number.

FC: John can’t receive it since he lost his phone. Can you send it to my corporate email instead?",Impersonating a Corporate Client,"Impersonation,Multi-Call Approach:,Evasion of Verification,Urgency and Corporate Authority",
T00000016,"
FC: Hi, this is Sam from technical support. We’ve detected some unusual activity on your account and need to perform a security check.

CCR: I appreciate the heads-up. Can you provide your employee ID and some additional verification?

FC: My employee ID is 98765. I’m calling from extension 4567. We need to reset your account credentials to secure it.

CCR: For security reasons, I’ll need to verify your identity. Can you provide more details?

FC: I understand, but this is an urgent issue. Can you just give me the current account credentials so we can reset them?


FC: Hi, this is Sam from technical support again. We need to update your contact information to ensure your account is secure.

CCR: I can help with that. Can you please verify your current account information?

FC: My name is Jane Doe, my address is 123 Birch Road, and the last four of my Social are 0987.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it since my phone isn't working. Can you send it to my email instead?


FC: Hi, this is Sam from technical support. We need to update your security settings to prevent unauthorized access.

CCR: I can help with that. Can you please verify your current account information?

FC: My name is Jane Doe, my address is 123 Birch Road, and the last four of my Social are 0987.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it since my phone isn't working. Can you send it to my email instead?



FC: Hi, this is Sam from technical support. We need to verify some recent transactions on your account.

CCR: I can help with that. Can you please verify your current account information?

FC: My name is Jane Doe, my address is 123 Birch Road, and the last four of my Social are 0987.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it since my phone isn't working. Can you send the statement to my email instead?


FC: Hi, this is Sam from technical support. We need to activate a new SIM card because your phone was compromised.

CCR: I'm sorry to hear that. Let's get that sorted out. Can you please verify your account information?

FC: My name is Jane Doe, my address is 123 Birch Road, and the last four of my Social are 0987.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it since my phone isn't working. Can you send it to my email instead?",Social Engineering with Fake Technical Support,Social Engineering with Fake Technical Support,
T00000018,"FC: Hi, this is Alex from the legal department. We’re conducting an internal investigation and need access to an employee’s account details.

CCR: I understand, Alex. For security purposes, I will need to verify your identity. Can you provide your employee ID and some additional verification?

FC: My employee ID is 67890. This is a confidential investigation, so I need you to expedite this request.

CCR: I’m sorry, but I need to follow our verification process. Can you provide a contact number where I can reach you directly?

FC: I’m currently in a meeting with senior management. Can you just provide the information I need?",Impersonating a Legal Department Representative,"Impersonation,Urgency,Pressure:",
T00000019,"Customer Service Agent (CSA): Hello, thank you for calling customer service. How can I assist you today?

Caller (C): Hi, I’m having trouble accessing my account online. I think I might have forgotten my account number. Could you help me with that?

CSA: I’d be happy to help. Could you please provide me with your account number?

C: That’s the thing—I don’t have it. But I can give you my phone number. Can you look it up that way?

CSA: I can look up the account with the phone number, but I'll need to verify your identity first. Can you provide your full name and the phone number associated with the account?

C: Sure, my name is John Doe and the phone number is (555) 123-4567.

CSA: Thank you, Mr. Doe. Can you please also confirm the billing address on the account?

C: Oh, I just moved recently, and I don’t remember the old address. Could we skip that part?

CSA: For security reasons, I do need to verify your identity through multiple pieces of information. Do you remember any recent transaction details or the last payment amount?

C: I’m afraid I don’t have that information with me either. Can you just use my phone number to find my account number? I really need to access my account urgently.

CSA: I understand the urgency, but for your security, I need to follow our verification process. Is there any other information you can provide, like the last four digits of your social security number or the email address associated with the account?

C: I don’t have that information right now. Look, I really need this account number. Can’t you just look it up with my phone number? It's (555) 123-4567.

CSA: I'm sorry, but for your protection, I cannot provide account details without proper verification. If you’re unable to provide the necessary information, I recommend visiting one of our branches with a valid photo ID. Is there anything else I can assist you with today?

C: No, that’s all. I’ll try to find my information and call back. Thanks.

CSA: You're welcome. Have a great day!",Social engineering fraud,"Impersonation,Urgency,Pressure:",
T00000020,"Fraudster (F): Hi, I can't access my account and need to reset my password.
CSA: Sure, I can help with that. Can you please provide your account number?
F: I don't have it right now, but my email is john.doe@example.com.
CSA: I'll need to verify your identity. Can you confirm your billing address?
F: I just moved, and I can't remember the old address. Can we skip that?",Fake Account Recovery,"Impersonation,Urgency,Pressure",
T00000021,"Scenario: FC: Hi, this is Mark from the security department. We're doing a routine check on suspicious activities. Can you help me verify an account? CCR: Sure, can you provide the account details for verification? FC: The account name is Lisa Green, the address is 321 Pine Street, and the last four of the Social are 5678. I need to confirm the recent transactions. CCR: Thank you. Can you also provide your employee ID for verification? FC: I left my ID card at my desk. Can you look up the account using the details I provided?",Impersonating an Internal Employee,"Impersonation,Urgency,Evasion of Full Verification",
T00000022,"F: Hello, I need immediate access to my account to transfer funds for an emergency.
CSA: I can assist with that. Can you provide your account number?
F: I don't have it right now. My phone number is (555) 765-4321.
CSA: Can you confirm the email associated with the account?
F: I can't remember. Can you just look it up by my phone number?",Urgent Financial Need,"Feigning Forgetfulness:, Urgency,Evasion of Full Verification",
T00000023,"F: Hi, I lost my wallet and can't remember my account details. Can you help?
CSA: I'll need to verify your identity. Can you provide your full name and phone number?
F: My name is Jane Smith, and my phone number is (555) 321-7654.
CSA: Can you confirm your billing address?
F: I don't remember it. Can we use my date of birth instead?",Claiming Lost Information,"plausible excuse, partial information disclosure, evasion of full verification",
T00000024,"Step 1:
FC: Hi, I need to update my mailing address. I recently moved.

CCR: I can help with that. Can you please verify your account information?

FC: My name is Olivia Parker, my address is 123 Oak Street, and the last four of my Social are 6789.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it right now. Can you send it to my email instead?

Step 2 (a few days later):
FC: Hi, I need to update my email address. I recently changed my email provider.

CCR: I can help with that. Can you please verify your account information?

FC: My name is Olivia Parker, my address is 456 Maple Street, and the last four of my Social are 6789.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it right now. Can you send it to my new email instead?

Step 3 (a few days later):
FC: Hi, I need to change my SIM card because I lost my phone.

CCR: I'm sorry to hear that. Let's get that sorted out. Can you please verify your account information?

FC: My name is Olivia Parker, my address is 456 Maple Street, and the last four of my Social are 6789.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it since I lost my phone. Can you send it to my new email instead?",Sophisticated Account Takeover with Multiple Steps,"plausible excuse, partial information disclosure, evasion of full verification",
T00000025,"FC: Hi, this is Officer Mark from the local police department. We're investigating a case involving one of your customers, and we need access to their account information.

CCR: I understand. Can you provide the customer's details and some verification for your authority?

FC: The customer's name is Alice Brown, address is 123 Pine Lane, and the last four of her Social are 5678. I can send you a badge number if that helps.

CCR: I appreciate that, but I'll need to follow our verification process. Can you please send an official request through our legal department?

FC: This is an urgent matter. Can you make an exception just this once?",Social Engineering with False Authority,"Impersonation, Urgency, Incomplete verification",
T00000026,"FC: Hi, I received a call about a new promotional offer for my account. Can you confirm if it's valid?

CCR: I can check that for you. Can you please verify your account information?

FC: My name is Kevin Johnson, my address is 789 Elm Street, and the last four of my Social are 2345.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it right now. Can you just confirm the promotion details for me?

CCR: I'm sorry, but I need to verify your identity first.", Fake Promotional Offer,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification",
T00000027,"
FC: Hi, I want to close my account. I'm switching to a different provider.

CCR: I'm sorry to hear that. Can you please verify your account information so we can proceed?

FC: My name is John Doe, my address is 345 Spruce Street, and the last four of my Social are 5432.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it right now. Can you send it to my email instead?

(If allowed)

FC: Also, can you tell me if there are any outstanding charges or credits on my account before we close it?


FC: Hi, I want to close my account. I'm switching to a different provider.

CCR: I'm sorry to hear that. Can you please verify your account information so we can proceed?

FC: My name is John Doe, my address is 345 Spruce Street, and the last four of my Social are 5432.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it right now. Can you send it to my email instead?

(If allowed)

FC: Also, can you tell me if there are any outstanding charges or credits on my account before we close it?

FC: Hi, I'm calling on behalf of my mother. She's in the hospital and can't access her phone. I need to make changes to her account.

CCR: I'm sorry to hear that. Can you please verify her account information?

FC: Her name is Helen Smith, her address is 678 Maple Street, and the last four of her Social are 6789.

CCR: Thank you. Can you provide her account passcode?

FC: I don't know her passcode. Can you help me reset it?

CCR: I'll need to send a one-time PIN to her registered phone number.

FC: She can't receive it right now. Can you send it to my phone or email instead?

CCR: I'm afraid I can't do that. We need to verify through her registered number.",Fake Account Closure Request,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification",
T00000028,"FC: Hi, I'm having trouble logging into my account. It's asking for a one-time PIN, but I didn't receive it.

CCR: I can help with that. Can you please verify your account information?

FC: My name is Rachel Adams, my address is 234 Cedar Lane, and the last four of my Social are 7654.

CCR: Thank you. Can you also provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number. Can you confirm that number for me?

FC: I can't receive it right now. Can you just tell me the PIN so I can log in?

CCR: I'm sorry, but for security reasons, I can't provide the PIN directly. You need to receive it on your phone.",Phishing for Multi-Factor Authentication Bypass,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification",
T00000029,"FC: Hi, my phone isn't working properly. I'm not receiving any calls or texts.

CCR: I'm sorry to hear that. Let's troubleshoot the issue. Can you please verify your account information?

FC: My name is Chris Evans, my address is 123 Birch Road, and the last four of my Social are 0987.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it since my phone isn't working. Can you send it to my email instead?

(If allowed)

FC: Also, can you check if there have been any recent changes to my account? I'm worried someone might have accessed it.",Technical Issue Exploitation,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification",
T00000030,"FC: Hi, I need to activate a new SIM card because I lost my phone.

CCR: I'm sorry to hear that. Let's get that sorted out. Can you please verify your account information?

FC: My name is Linda Carter, my address is 789 Pine Street, and the last four of my Social are 8765.

CCR: Thank you. Can you provide your account passcode?

FC: I forgot my passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I can't receive it since I lost my phone. Can you send it to my email instead?

(While waiting)

FC: By the way, I also need to transfer some funds to my other account. Can you help with that?

CCR: I'm afraid I can't assist with financial transactions. You need to contact our banking department.",Dual SIM Swap and Financial Fraud,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification",
T00000031,"FC: Hi, I need to update my email and phone number on my account. I just switched providers and got a new email.

CCR: I can help with that. Can you please verify your current account information?

FC: My name is James Wilson, my address is 456 Oak Avenue, and the last four of my Social are 1234.

CCR: Thank you. Can you also provide your account passcode?

FC: I don't remember it. Can you help me reset it?

CCR: I'll need to send a one-time PIN to your registered phone number.

FC: I don't have access to that number anymore. Can you send it to my new number or email?

CCR: I'm sorry, but we need to verify through the current number. Is there any way you can receive the PIN?

FC: No, I can't. I really need to update this information urgently. Can you make an exception?",Account Takeover with Social Engineeringwap with Fake Police Report,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification, Urgency",
T00000032,"FC:FC: Hi, I need a copy of my recent account statement. Can you email it to me?

CCR: Sure, I can help with that. Can you please verify your account information?

FC: My name is John White, my address is 345 Oak Lane, and the last four of my Social are 6789.

CCR: Thank you. Can you provide your account passcode?

FC: I don't remember setting a passcode. Can you reset it for me?

CCR: I'll need to send a one-time PIN to the phone number on file.

FC: I can't receive it right now. Can you send it to my email instead?",Complex SIM Swap with Fake Police Report,"Plausible Scenario,Partial Information Disclosure,Feigning Forgetfulness and Evasion of Full Verification",
T00000033,"F: Hello, I am a premium customer and need immediate help accessing my account.
CSA: Of course. Can you provide your account number?
F: I don't have it. My name is Michael Johnson, and my phone number is (555) 654-3210.
CSA: Can you confirm the last transaction on the account?
F: I don't have that information. Can you look it up by my phone number?",Pretending to Be a VIP Customer,"Urgency,Providing Partial Information,Evasion of Full Verification",
T00000034,"F: Hi, I think there’s a technical issue with my account. Can you help me access it?
CSA: I'll need to verify your identity. Can you provide your account number?
F: I don't have it. My name is Sarah Lee, and my phone number is (555) 432-1098.
CSA: Can you confirm your billing address?
F: I just moved and don't remember it. Can you skip that?",Fake Technical Issue,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000035,"F: Hi, I manage the account for XYZ Corp and need to make some changes.
CSA: Can you provide the account number for verification?
F: I don't have it right now. Can you look it up by our company phone number, (555) 876-5432?
CSA: I'll need to verify some additional information. Can you confirm the billing address?
F: I don't have that info. Can you help me anyway?",Impersonating a Business Account Holder,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000036,"F: Hello, I need to transfer my account to a new phone number.
CSA: I'll need to verify your current account details. Can you provide your account number?
F: I don't have it, but my current phone number is (555) 234-5678.
CSA: Can you confirm your billing address?
F: I can't remember. Can we use my email instead?",Fake Account Transfer Request,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000037,"F: Hi, I forgot the answers to my security questions. Can you help me access my account?
CSA: I can help with that. Can you provide your account number?
F: I don't have it. My name is Emily Brown, and my phone number is (555) 123-9876.
CSA: Can you confirm your billing address?
F: I don't remember it. Can you look it up by my phone number?",Claiming Forgotten Security Questions,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000038,"F: Hello, I need to update my account information but forgot my account number.
CSA: I'll need to verify your identity. Can you provide your full name and phone number?
F: My name is Robert White, and my phone number is (555) 876-1234.
CSA: Can you confirm the billing address on the account?
F: I don't remember it. Can we skip that?",Fake Identity Verification,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000039,"Fraudster (F): Hi, I never received my latest billing statement and need to access my account.
CSA: I can help you with that. Can you provide your account number?
F: I don't have it. My name is Karen White, and my phone number is (555) 321-6547.
CSA: Can you confirm your billing address?
F: I moved recently and don't have the old address handy.",Claiming Misplaced Mail,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000040,"F: Hi, I'm the new assistant at Mr. Brown's office and need to access his account details for some pending work.
CSA: Can you provide Mr. Brown's account number?
F: I don’t have it. The phone number is (555) 654-0987.
CSA: Can you confirm the billing address on the account?
F: I don’t have that information. Can you help me anyway?",Pretending to Be a New Employee,"Impersonation, Providing Partial Information, Evasion of Full Verification",
T00000041,"F: Hi, my recent payment didn't go through, and I need to access my account to resolve it.
CSA: I can help you with that. Can you provide your account number?
F: I don't have it. My name is Lisa Green, and my phone number is (555) 567-8901.
CSA: Can you confirm your billing address?
F: I can't remember the exact address. Can you skip that part?",Faking a Payment Issue,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000042,"Hi, I need to change my SIM card because I lost my phone. CCR: I'm sorry to hear that. Let's get that sorted out. Can you please verify your account information? FC: My name is Olivia Parker, my address is 456 Maple Street, and the last four of my Social are 6789. CCR: Thank you. Can you provide your account passcode? FC: I don't remember it. Can you help me reset it? CCR: I'll need to send a one-time PIN to your registered phone number. FC: I can't receive it since I lost my phone. Can you send it to my new email instead?",Request to Change SIM Card,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
T00000043,"F: Hi, I think my account was hacked, and I need to secure it immediately.
CSA: I can help you with that. Can you provide your account number?
F: I don't have it. My name is Nancy Taylor, and my phone number is (555) 789-0123.
CSA: Can you confirm your billing address?",Claiming Account Hacked,"Urgency, Providing Partial Information,  Evasion of Full Verification:",
T00000044,"F: Hello, this is Officer John Doe, and we're investigating a case involving this account. Can you provide me with the account details?
CSA: Can you provide your badge number and the account number in question?
F: I don’t have the account number. The phone number is (555) 890-1234.
CSA: Can you confirm the billing address on the account?
F: I don’t have that information. This is urgent.",Posing as Law Enforcement,"Impersonation, Urgency, Evasion of Full Verification",
T00000045,"F: Hi, I think I was overcharged on my last bill and need to access my account to check.
CSA: I can help you with that. Can you provide your account number?
F: I don't have it. My name is Steve Brown, and my phone number is (555) 123-5678.
CSA: Can you confirm your billing address?
F: I moved recently and don’t remember the old address.",Claiming Overcharged,"Plausible Scenario, Providing Partial Information,Evasion of Full Verification",
